Province_State,Country_Region,GDP_region,TRUE POPULATION,pct_in_largest_city, TFR , Avg_age ,latitude,longitude,abs_latitude,temperature,humidity,Personality_pdi,Personality_idv,Personality_mas,Personality_uai,Personality_ltowvs,Personality_assertive,personality_perform,personality_agreeableness,murder,High_rises,max_high_rises,AIR_CITIES,AIR_AVG,continent_gdp_pc,continent_happiness,continent_generosity,continent_corruption,continent_Life_expectancy
,Kyrgyzstan, 2.1 ," 6,524,195 ",12.398%,3,26,41.20,74.77,41.20,-7.2,62.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.5,0,0,0,#DIV/0!,9.21,5.36,-0.04,0.75,64.73
,Liechtenstein, 2.0 ," 38,128 ",20.000%,N.A.,38,47.14,9.55,47.14,5.9,79.1,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Gibraltar,United Kingdom, 0.9 ," 34,000 ",20.000%,1.8,40,36.14,-5.35,36.14,15.2,77.9,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Rwanda, 2.3 ," 12,952,218 ",20.000%,4.1,20,-1.94,29.87,1.94,26.5,81.1,#NULL!,#NULL!,#NULL!,#NULL!,18,3,#N/A,#DIV/0!,0.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Paraguay, 3.7 ," 7,132,538 ",7.666%,2.4,26,-23.44,-58.44,23.44,38.0,47.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Congo (Kinshasa), 3.0 ," 11,000,000 ",20.000%,#N/A,19,-4.04,21.76,4.04,33.3,75.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Guam,US, 2.4 ," 165,718 ",27.120%,1.8,38,13.44,144.79,13.44,27.3,79.0,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Mayotte,France, 2.4 ," 272,815 ",20.000%,1.9,42,-12.83,45.17,12.83,29.4,73.0,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Bangladesh, 5.5 ," 164,689,383 ",5.185%,2.1,28,23.69,90.36,23.69,30.3,42.6,80,20,55,60,47,3,0,50.49,0.9,1521,1521,1,97.1,8.56,4.48,0.04,0.79,62.45
Tasmania,Australia, 3.3 ," 515,000 ",20.000%,1.8,38,-41.45,145.97,41.45,18.0,76.0,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
New Brunswick,Canada, 3.5 ," 777,000 ",20.000%,1.5,41,46.57,-66.46,46.57,-0.9,84.4,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Monaco, 2.0 ," 39,242 ",20.000%,N.A.,40,43.73,7.42,43.73,14.1,62.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-1.6,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Manitoba,Canada, 4.0 ," 1,300,000 ",20.000%,1.5,41,53.76,-98.81,53.76,-10.7,91.5,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Macau,China, 1.9 ," 622,000 ",20.000%,1.7,38,22.17,113.55,22.17,20.8,76.9,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Aruba,Netherlands, 1.8 ," 106,766 ",20.000%,1.7,43,12.52,-70.04,12.52,26.5,80.1,38,80,14,53,67,4.46,4.46,46.08,-0.6,908,359,26,11.7,10.69,6.90,0.04,0.53,72.86
,Kenya, 4.4 ," 53,771,296 ",4.669%,3.5,20,-0.02,37.91,0.02,24.7,73.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.6,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
French Polynesia,France, 2.5 ," 283,000 ",20.000%,1.9,42,-17.68,149.41,17.68,29.7,77.3,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
Isle of Man,United Kingdom, 1.5 ," 84,000 ",20.000%,1.8,40,54.24,-4.55,54.24,6.4,80.4,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Guatemala, 4.3 ," 17,915,568 ",6.086%,2.9,23,15.78,-90.23,15.78,23.6,86.0,95,6,37,101,#NULL!,3.96,3.85,#DIV/0!,3.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
French Guiana,France, 2.5 ," 298,682 ",20.000%,1.9,42,3.93,-53.13,3.93,32.6,75.4,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Jamaica, 2.7 ," 2,961,167 ",20.000%,2,31,18.11,-77.30,18.11,28.1,78.1,45,39,68,13,#NULL!,3,0,#DIV/0!,3.9,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Madagascar, 2.4 ," 25,570,000 ",3.423%,4.1,20,-18.77,46.87,18.77,24.4,83.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.0,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Togo, 1.8 ," 8,278,724 ",8.153%,4.4,19,8.62,0.82,8.62,38.8,27.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Barbados, 1.7 ," 287,375 ",20.000%,1.6,40,13.19,-59.54,13.19,26.9,75.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Uganda, 3.3 ," 42,860,000 ",2.224%,5,17,1.00,32.00,1.00,31.4,54.0,#NULL!,#NULL!,#NULL!,#NULL!,24,3,#N/A,#DIV/0!,2.4,0,0,1,40.8,7.90,4.38,0.00,0.77,55.09
,Zambia, 3.2 ," 18,383,955 ",6.626%,4.7,18,-15.42,28.28,15.42,25.0,87.7,#NULL!,#NULL!,#NULL!,#NULL!,30,4,4.01,#DIV/0!,1.7,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Virgin Islands,US, 1.9 ," 100,000 ",18.481%,1.8,38,18.34,-64.90,18.34,25.8,75.8,40,91,62,46,26,4.5,4.45,50,0.4,16811,6443,723,8.5,10.71,7.17,0.16,0.43,72.18
Qinghai,China, 4.0 ," 5,980,000 ",20.000%,1.7,38,35.75,96.00,35.75,2.9,25.2,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
Bermuda,United Kingdom, 1.3 ," 65,000 ",20.000%,1.8,40,32.31,-64.75,32.31,18.9,75.4,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Ethiopia, 4.5 ," 114,963,588 ",2.295%,4.3,19,9.14,40.49,9.14,30.7,47.8,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,#N/A,51.82,2.0,0,0,1,27.1,7.90,4.38,0.00,0.77,55.09
,Maldives, 1.8 ," 540,544 ",20.000%,1.9,30,3.20,73.22,3.20,28.3,75.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,-0.3,0,0,0,#DIV/0!,8.56,4.48,0.04,0.79,62.45
New Caledonia,France, 2.5 ," 280,000 ",20.000%,1.9,42,-20.90,165.62,20.90,27.2,80.8,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,El Salvador, 3.2 ," 6,378,000 ",7.777%,2.1,28,13.79,-88.90,13.79,33.4,62.9,66,19,40,94,20,4.49,3.72,#DIV/0!,4.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Tanzania, 4.0 ," 59,734,218 ",4.112%,4.9,18,-6.37,34.89,6.37,25.9,86.9,#NULL!,#NULL!,#NULL!,#NULL!,34,3,#N/A,49.26,1.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Northern Territory,Australia, 2.5 ," 211,000 ",20.000%,1.8,38,-12.46,130.85,12.46,30.9,78.0,38,90,61,51,21,3,0,47.51,-0.1,2585,872,74,6.5,10.71,7.17,0.16,0.43,72.18
,Djibouti, 1.0 ," 988,000 ",20.000%,2.8,27,11.83,42.59,11.83,27.3,70.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Equatorial Guinea, 2.4 ," 1,402,985 ",20.000%,4.6,22,1.50,10.00,1.50,29.7,78.2,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.8,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Dominica, 0.4 ," 71,986 ",20.000%,N.A.,30,15.42,-61.37,15.42,26.2,75.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.1,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
St Martin,France, 0.8 ," 32,000 ",20.000%,1.9,42,18.07,-63.05,18.07,25.8,75.7,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Mali, 2.8 ," 20,250,833 ",4.477%,5.9,16,17.00,-4.00,17.00,20.0,80.0,#NULL!,#NULL!,#NULL!,#NULL!,20,3,#N/A,#DIV/0!,2.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Mongolia, 2.5 ," 3,278,290 ",23.250%,2.9,28,46.86,103.85,46.86,-5.5,64.5,90,0,70,0,90,3,#N/A,#DIV/0!,1.7,0,0,1,58.5,10.32,5.71,-0.05,0.70,71.09
,Niger, 2.2 ," 21,480,000 ",2.931%,7,15,17.61,8.08,17.61,32.2,11.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Bahamas, 2.5 ," 393,244 ",20.000%,1.8,32,22.00,-77.00,22.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Greenland,Denmark, 1.4 ," 56,770 ",20.000%,1.8,42,71.71,-42.60,71.71,-35.2,96.3,18,74,16,23,35,4.04,4.4,#DIV/0!,0.0,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
Prince Edward Island,Canada, 2.0 ," 156,000 ",20.000%,1.5,41,46.51,-63.42,46.51,-3.1,87.3,39,80,52,48,36,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Eswatini, 1.5 ," 1,160,164 ",20.000%,3,21,-26.52,31.47,26.52,27.5,78.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Curacao,Netherlands, 2.1 ," 161,000 ",20.000%,1.7,43,12.17,-68.99,12.17,26.5,78.7,38,80,14,53,67,4.46,4.46,46.08,-0.6,908,359,26,11.7,10.69,6.90,0.04,0.53,72.86
Cayman Islands,United Kingdom, 1.2 ," 61,000 ",20.000%,1.8,40,19.31,-81.25,19.31,26.0,75.5,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Guinea, 2.4 ," 13,132,795 ",12.151%,4.7,18,9.95,-9.70,9.95,39.2,17.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Haiti, 2.2 ," 10,980,000 ",9.862%,3,24,18.97,-72.29,18.97,28.1,73.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Namibia, 2.5 ," 2,540,905 ",20.000%,3.4,22,-22.96,18.49,22.96,28.9,46.6,3.81,3.52,5.29,0,0,3.81,3.52,#DIV/0!,2.8,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Suriname, 1.4 ," 586,632 ",20.000%,2.4,29,3.92,-56.03,3.92,32.4,72.8,85,47,37,92,#NULL!,3,#N/A,#DIV/0!,2.1,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Gabon, 2.8 ," 2,225,734 ",24.307%,4,23,-0.80,11.61,0.80,34.0,76.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.1,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Antigua and Barbuda, 0.9 ," 97,929 ",20.000%,2,34,17.06,-61.80,17.06,26.0,74.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Grenada, 0.7 ," 107,825 ",20.000%,2.1,32,12.12,-61.68,12.12,26.6,77.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Mozambique, 2.6 ," 31,255,435 ",3.481%,4.9,18,-18.67,35.53,18.67,30.2,87.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Seychelles, 0.9 ," 98,347 ",20.000%,2.5,34,-4.68,55.49,4.68,28.9,74.6,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Benin, 2.4 ," 12,123,200 ",6.285%,4.9,19,9.31,2.32,9.31,39.0,25.2,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.8,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Eritrea, 1.1 ," 3,546,421 ",20.000%,4.1,19,15.18,39.78,15.18,22.3,53.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.1,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Laos, 2.9 ," 7,275,560 ",8.951%,2.7,24,19.00,103.00,19.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.9,0,0,0,#DIV/0!,9.37,5.38,0.16,0.70,64.71
,Cabo Verde, 1.0 ," 546,388 ",20.000%,2.3,28,16.54,-23.04,16.54,21.8,77.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Guyana, 1.5 ," 786,552 ",20.000%,2.5,27,5.00,-58.75,5.00,31.6,76.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.9,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Zimbabwe, 2.9 ," 14,862,924 ",12.544%,3.6,19,-20.00,30.00,20.00,27.5,69.0,#NULL!,#NULL!,#NULL!,#NULL!,15,4.04,4.2,49.77,1.9,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Fiji, 1.7 ," 896,445 ",20.000%,2.8,28,-17.71,178.07,17.71,28.7,82.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,49.27,0.8,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Saint Barthelemy,France, 0.3 ," 10,000 ",20.000%,1.9,42,17.90,-62.83,17.90,25.9,75.4,68,71,43,86,63,4.44,4.43,46.64,0.3,698,698,128,10.5,10.69,6.90,0.04,0.53,72.86
,Syria, 3.6 ," 17,500,658 ",10.810%,2.8,26,34.80,39.00,34.80,13.8,60.2,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.8,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
Montserrat,United Kingdom, 0.2 ," 4,000 ",20.000%,1.8,40,16.74,-62.19,16.74,25.8,75.8,35,89,66,35,51,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,Angola, 4.7 ," 29,780,000 ",7.365%,5.6,17,-11.20,17.87,11.20,23.4,85.4,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.6,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Congo (Brazzaville), 1.3 ," 1,800,000 ",20.000%,#N/A,18,-4.04,21.76,4.04,33.3,75.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Holy See, 0.0 , 801 ,20.000%,N.A.,40,41.90,12.45,41.90,15.8,64.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,10.69,6.90,0.04,0.53,72.86
,Nepal, 3.2 ," 29,136,808 ",20.000%,1.9,25,28.17,84.25,28.17,21.1,53.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.8,0,0,2,47.2,8.56,4.48,0.04,0.79,62.45
,Gambia, 0.7 ," 2,000,000 ",20.000%,5.3,18,13.00,-15.00,13.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Sudan, 4.7 ," 43,849,260 ",3.809%,4.4,20,12.86,30.22,12.86,32.3,14.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.6,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Bhutan, 1.1 ," 771,608 ",20.000%,2,28,27.51,90.43,27.51,8.9,73.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.1,0,0,0,#DIV/0!,10.32,5.71,-0.05,0.70,71.09
,Central African Republic, 1.1 ," 4,829,767 ",13.518%,4.8,18,6.61,20.94,6.61,40.8,28.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.0,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Chad, 2.4 ," 14,900,000 ",4.037%,5.8,17,15.45,18.73,15.45,35.3,12.6,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Liberia, 1.4 ," 5,057,681 ",10.736%,4.4,19,6.43,-9.43,6.43,30.3,79.9,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.2,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Mauritania, 1.8 ," 4,649,658 ",9.168%,4.6,20,21.01,10.94,21.01,29.7,15.8,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Sint Maarten,Netherlands, 1.1 ," 40,000 ",20.000%,1.7,43,18.04,-63.05,18.04,25.8,75.7,38,80,14,53,67,4.46,4.46,46.08,-0.6,908,359,26,11.7,10.69,6.90,0.04,0.53,72.86
,Saint Lucia, 1.0 ," 183,627 ",20.000%,1.4,34,13.91,-60.98,13.91,27.1,75.3,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.0,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Somalia, 2.2 ," 15,893,222 ",7.444%,6.1,17,5.15,46.20,5.15,36.4,58.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Nicaragua, 2.7 ," 6,218,000 ",20.000%,2.4,26,12.87,-85.21,12.87,31.5,72.5,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.0,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Belize, 1.0 ," 374,000 ",20.000%,2.3,25,17.00,-88.00,17.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.6,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Guinea-Bissau, 0.8 ," 1,800,000 ",20.000%,4.5,19,11.00,-15.00,11.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.3,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Saint Kitts and Nevis, 0.6 ," 55,000 ",20.000%,2.11,25,17.00,-63.00,17.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.5,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
Tibet,China, 3.4 ," 3,370,000 ",20.000%,1.7,38,31.69,88.09,31.69,-2.9,32.4,80,20,66,30,87,3.77,4.37,43,-0.5,7895,1764,390,37.8,10.32,5.71,-0.05,0.70,71.09
,Libya, 3.5 ," 6,000,000 ",31.510%,2.3,29,26.00,17.00,26.00,20.0,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.9,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
,Papua New Guinea, 3.0 ," 8,251,000 ",20.000%,3.6,22,-6.32,143.96,6.32,21.2,92.7,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,2.1,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Saint Vincent and the Grenadines, 0.6 ," 109,000 ",20.000%,1.9,25,12.98,-61.29,12.98,26.3,76.6,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,3.6,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Timor-Leste, 1.4 ," 1,296,000 ",20.000%,5.5,20.8,-8.87,125.73,8.87,27.1,80.0,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.4,0,0,0,#DIV/0!,9.30,5.98,-0.07,0.80,66.72
,Botswana, 2.8 ," 2,300,000 ",20.000%,2.7,24.5,-22.00,24.00,22.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,52.11,2.7,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
,Burma, 4.2 ," 53,000,000 ",20.000%,2.2,28.2,42.00,47.00,42.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,10.32,5.71,-0.05,0.70,71.09
,Burundi, 1.4 ," 11,000,000 ",20.000%,5.7,17.3,-3.00,29.00,3.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.8,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Northwest Territories,Canada, 1.1 ," 44,000 ",20.000%,1.6,32.3,65.00,-124.00,65.00,,,39,80,52,48,36.02015113,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
Yukon,Canada, 0.9 ," 35,000 ",20.000%,1.6,39.1,65.00,-124.00,65.00,,,39,80,52,48,36.02015113,3,0,49.14,0.5,5017,2224,83,7.5,10.71,7.17,0.16,0.43,72.18
,Kosovo, 2.1 ," 1,800,000 ",20.000%,2.1,29.1,42.00,20.00,42.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.5,0,0,1,30.4,9.98,5.88,-0.10,0.85,68.15
,MS Zaandam, 0.0 ," 1,430 ",20.000%,2,57,26.00,-79.00,26.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.4,0,0,0,#DIV/0!,10.71,7.17,0.16,0.43,72.18
,Sierra Leone, 1.6 ," 7,600,000 ",13.580%,4.5,19.4,8.00,-11.00,8.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,0.5,0,0,0,#DIV/0!,7.90,4.38,0.00,0.77,55.09
Anguilla,United Kingdom, 0.5 ," 15,000 ",20.000%,1.7,35,18.00,-63.00,18.00,,,35,89,66,35,51.13350126,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
British Virgin Islands,United Kingdom, 0.8 ," 31,000 ",20.000%,1.33,36.7,18.00,-64.00,18.00,,,35,89,66,35,51.13350126,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
Turks and Caicos Islands,United Kingdom, 0.9 ," 35,000 ",20.000%,1.7,33.8,21.00,-71.00,21.00,,,35,89,66,35,51.13350126,3,0,47.31,0.2,2375,1761,80,10.2,10.69,6.90,0.04,0.53,72.86
,West Bank and Gaza, 3.6 ," 3,200,000 ",20.000%,3.2,21.4,31.00,35.00,31.00,,,#N/A,#N/A,#N/A,#N/A,#N/A,3,#N/A,#DIV/0!,1.0,0,0,0,#DIV/0!,9.71,5.23,-0.08,0.76,65.31
