Province_State,Country_Region,EN.ATM.PM25.MC.ZS,EN.POP.DNST,IS.AIR.PSGR,NE.TRD.GNFS.ZS,NY.GDP.PCAP.PP.CD,SH.DTH.COMM.ZS,SH.DTH.NCOM.ZS,SH.DYN.NCOM.ZS,SH.STA.BASS.ZS,SH.TBS.CURE.ZS,SH.TBS.DTEC.ZS,SH.TBS.INCD,SH.XPD.CHEX.PP.CD,SH.XPD.OOPC.CH.ZS,SL.TLF.CACT.ZS,SM.POP.TOTL,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CDRT.IN,SP.DYN.LE00.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.POP.1564.TO.ZS,SP.POP.65UP.TO.ZS,SP.POP.TOTL,SP.URB.TOTL.IN.ZS,ST.INT.ARVL
,Afghanistan,100.0,51.6749287749288,1929907,55.1255265979591,1924.55971464203,40.6,44.8,29.8,39.22043325002,88,56,189.0,183.92785762,78.38229648,65.2689971923828,382365,206.74599999999998,248.72400000000002,6.9239999999999995,63.288000000000004,65.91763,59.86299,52.974876405355,2.49313992141566,33736494,24.803,741000.0
,Albania,100.0,105.135145985401,3496190,71.8010161004583,11662.044932818799,2.9,93.1,17.4,97.69065534071959,87,87,16.0,758.23153065,56.68625032,56.451000213623,57616,51.035,79.984,7.2170000000000005,78.17399999999999,90.62333000000001,85.38936,69.4364209304935,12.536704440655802,2880703,57.434,3784000.0
,Algeria,100.0,16.7405040012764,5400896,59.695129120419395,14657.7828926501,15.3,75.0,14.4,87.4876863565245,90,80,74.0,1020.54641371,28.20843254,41.4620018005371,242391,84.44,107.191,4.773,75.86,85.06557,81.0472,65.4771996698998,5.869785075706151,39871528,70.848,1710000.0
,Andorra,90.8480627384849,165.987234042553,1489035,115.91482620194598,18389.7421006552,2.3,90.8,24.5,100.0,100,87,5.9,5097.37986813,42.38849053,64.2730026245117,42082,82.36,245.38400000000001,12.6,73.6243902439025,85.48163000000001,60.41797,69.5287215421159,14.3353435018257,78014,88.345,2663000.0
,Angola,100.0,22.3464385978985,1244491,62.888520784974396,7102.987586957329,63.4,27.2,16.9,39.429422840720704,85,58,366.0,195.75734656,33.52316573,77.8479995727539,106845,206.21900000000002,279.712,8.683,61.24100000000001,65.38931,55.42365,50.6133839304319,2.30631381507902,27859305,63.446000000000005,592000.0
,Antigua and Barbuda,100.0,227.097727272727,1039810,93.6295425365057,21427.1773244112,12.6,81.1,22.6,87.5042823844152,50,87,4.4,1012.12160864,25.79987354,66.431999206543,28083,106.995,153.01,5.794,76.207,84.7282,78.12162,68.8580206759205,6.5830689631015895,99923,25.0,250000.0
,Argentina,98.02192869451609,15.8650650968871,14245183,22.4862260889792,20416.5481792635,15.5,78.1,16.1,94.8398814623159,47,87,25.0,1808.94614677,13.54572906,60.1500015258789,2086302,74.547,152.35399999999998,7.57,76.415,87.49356999999999,76.19645,63.8777606355371,10.926301710832,43417765,91.50299999999999,5736000.0
,Armenia,100.0,102.456972251493,1803112,71.5932653468932,8753.124457719141,3.1,92.9,23.0,91.58276665231091,79,80,50.0,883.02180722,81.62987756,59.7910003662109,191199,75.161,175.81400000000002,9.693999999999999,74.445,86.35999,71.88195,69.24619894067429,10.909237388368002,2916950,63.085,1192000.0
Australian Capital Territory,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
New South Wales,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
Northern Territory,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
Queensland,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
South Australia,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
Tasmania,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
Victoria,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
Western Australia,Australia,26.046666752199698,3.10011259648803,69779346,41.5473873260458,46185.0853384234,4.4,89.6,9.3,100.0,73,87,6.1,4423.48042444,18.9466257,65.0410003662109,6763663,54.153,84.738,6.6,82.4,93.36879,89.1856,66.1877053504696,14.9770273025262,23815995,85.70100000000001,7450000.0
,Austria,91.47446535223258,104.73079268267401,14718641,102.43005467025299,49877.7133112879,2.4,92.2,11.5,99.9733750252992,73,87,7.5,5194.06565217,19.00804959,60.0999984741211,1492374,44.687,84.68799999999999,9.6,81.19024390243901,92.78527,86.00514,67.0395546223339,18.840484190123,8642699,57.715,26728000.0
,Azerbaijan,100.0,116.731079539702,1803112,72.6015079073189,17834.1160526688,9.1,86.2,22.5,89.3490808342493,83,80,71.0,1220.14771263,77.99325565,65.5149993896484,264241,85.616,174.18,5.7,71.921,83.27203,70.85146999999999,71.3514054195463,5.738111963586321,9649341,54.714,1922000.0
,Bahamas,99.9999999987145,38.64515484515479,900028,73.6870669843881,30338.350503536698,15.7,74.6,15.6,92.01119676522791,82,87,18.0,1344.1155412,26.89450223,74.68499755859379,59306,118.76299999999999,198.415,6.256,75.527,83.33811999999999,73.1986,71.0147400203703,8.30606093506842,386838,82.74600000000001,1484000.0
,Bahrain,100.0,1763.3096994705102,5313756,154.067392842373,46912.763168502,7.0,82.9,11.7,100.0,88,87,15.0,2326.8212774,25.84038665,71.640998840332,704137,58.897,74.471,2.3480000000000003,76.76100000000001,88.61117,85.93321,76.8259765062634,2.32437101588725,1371855,88.999,9670000.0
,Bangladesh,100.0,1238.38738572636,3997815,42.0859963070382,3345.53142141565,27.0,65.4,21.7,46.92459322988461,93,58,221.0,88.04646301,71.81633672,56.476001739502,1422805,109.465,150.041,5.312,72.155,78.63568000000001,72.53321,65.5400287316039,5.0381689589472805,161200886,34.308,1865000.0
,Barbados,100.0,660.96976744186,4448883,79.0004690073405,17579.178128210802,12.9,82.8,16.3,96.4561016902695,53,87,0.0,1258.89982661,45.22794233,65.6699981689453,34475,74.168,124.01899999999999,10.661,75.755,87.59658,79.37095,66.4703378052685,14.163825527677801,284217,31.249000000000002,592000.0
,Belarus,100.0,46.751941760932,1489035,115.91482620194598,18389.7421006552,2.3,90.8,24.5,94.2539798637126,89,80,50.0,1113.25880532,36.20292948,64.2730026245117,1082905,82.36,245.38400000000001,12.6,73.6243902439025,85.48163000000001,60.41797,69.5287215421159,14.3353435018257,9489616,77.181,4385600.0
,Belgium,95.1043453766346,372.33143989432,11473055,160.172010329671,45582.0976862492,7.8,85.9,11.6,99.4860606074059,79,87,9.5,4604.54395382,16.45771346,53.4449996948242,1387940,53.933,89.305,9.8,80.9926829268293,91.31411999999999,85.51732,64.85353394862129,18.142309402778498,11274196,97.876,8355000.0
,Belize,100.0,15.751337132836499,935604,122.330411319895,8558.204663739642,19.1,67.3,22.4,87.157202303199,67,87,25.0,515.53925675,23.42412464,66.431999206543,53860,128.639,220.34599999999998,5.523,70.192,79.58245,67.02989000000001,63.7833715570795,3.76244127273942,359288,45.406000000000006,341000.0
,Benin,100.0,93.7916991841078,112392,58.797884775072404,2122.2354013842396,54.8,35.1,19.7,13.9301122458203,88,63,60.0,84.47116607,40.49658741,71.0139999389648,245399,219.592,266.315,9.318999999999999,60.638999999999996,62.838190000000004,57.014340000000004,53.73519093127499,3.22771888525969,10575952,45.695,255000.0
,Bhutan,100.0,20.657082406445,162864,96.4182116610232,8273.41483709925,21.1,68.2,23.7,62.87050065048761,92,80,153.0,287.31702071,19.79465735,66.6060028076172,51106,209.35299999999998,206.653,6.042999999999999,69.817,68.86108,69.40503000000001,67.9026551145182,4.67953456119362,787386,38.678000000000004,155000.0
,Bolivia,99.9997322955159,9.90003230868642,4115271,67.9328449414657,6975.556981959439,23.1,63.8,17.4,52.6140267297645,84,62,117.0,446.68589944,25.87488943,67.04599761962889,142989,152.314,216.726,7.353,68.756,73.22086999999999,65.67491,61.089298027311706,6.46546455123941,10724705,68.393,882000.0
,Bosnia and Herzegovina,100.0,69.06173828125,7071,88.08738013415122,11650.479003631599,1.8,94.4,18.2,94.7820992357338,65,80,39.0,1077.5021714000002,28.81612434,46.7389984130859,34803,64.788,127.346,10.886,76.735,88.63385,79.4999,69.8052099556528,15.7170568340544,3535961,47.173,678000.0
,Botswana,100.0,3.89814726589381,226549,105.794545059157,16054.6784594191,47.9,43.9,20.7,59.9559063382571,79,63,356.0,976.39405165,5.26085,71.6750030517578,160644,194.62900000000002,302.561,7.022,65.846,71.60821,58.34595,64.4824341152011,3.7259692096268497,2209197,67.155,1528000.0
,Brazil,74.9277515309761,24.6420983615972,102039359,26.9536259376792,15699.442885279299,13.8,74.0,17.0,86.14835205188679,71,87,42.0,1788.71788542,44.6772881,64.0989990234375,713568,95.103,193.622,6.0920000000000005,75.28399999999999,84.70549,72.6323,69.5292975929339,7.960422991980639,205962108,85.77,6306000.0
,Brunei,0.0,79.22998102466791,1150003,84.8970637867027,79671.7678070956,8.0,84.4,17.0,96.33040521667441,74,87,58.0,1896.28120319,4.97357672,65.78399658203129,102733,73.057,103.12899999999999,3.512,77.046,88.06858000000001,83.38042,72.2382419014135,4.095156894396251,417542,76.663,218000.0
,Bulgaria,99.9662317940315,66.12003500368459,1063498,128.06101482130398,18186.4863591477,2.3,95.2,23.8,85.9811123144257,84,80,28.0,1481.01460901,47.66826791,54.1800003051758,102113,85.92,234.554,15.3,74.6146341463415,86.70101,71.44754,65.9170261749526,20.0764734173787,7177991,73.99,7099000.0
,Burkina Faso,100.0,66.1938011695906,122590,47.9479044078272,1704.8594897816101,57.3,32.0,21.9,22.5320811837064,78,60,52.0,99.02623501,36.02974972,66.72499847412111,704676,242.487,273.42900000000003,8.818,59.927,60.50189,56.273509999999995,52.0181855688683,2.40787396392306,18110624,27.53,163000.0
,Burma,100.0,16.7405040012764,5400896,59.695129120419395,14657.7828926501,15.3,75.0,14.4,87.4876863565245,90,80,74.0,1020.54641371,28.20843254,41.4620018005371,242391,84.44,107.191,4.773,75.86,85.06557,81.0472,65.4771996698998,5.869785075706151,39871528,70.848,1710000.0
,Burundi,100.0,397.16783489096605,41812,22.850711085490698,761.255578529508,56.8,31.3,22.8,50.46031706594621,92,55,122.0,38.13249141,41.53365581,78.4769973754883,286810,265.20799999999997,323.166,11.032,57.093999999999994,57.61885,50.32161,52.7448238942591,2.5024830208436497,10199270,12.078,131000.0
,Cabo Verde,100.0,132.236476426799,548908,104.06608898131701,6317.25521439574,19.8,69.8,17.4,65.2069638901171,89,36,139.0,339.55239409,24.01657599,68.3639984130859,14924,102.445,147.85299999999998,5.606,72.59899999999999,82.47511,74.83834,64.3621003803623,4.47127392276038,532913,64.3,520000.0
,Cambodia,100.0,87.90865057783822,1103880,127.86406699658001,3514.6839452407003,26.7,63.2,21.3,48.8254492739503,94,62,368.0,217.07473412,57.33106461,81.0469970703125,73963,142.84,208.468,6.109,68.62,75.91494,66.75045,64.2785256902872,4.11931328453079,15517635,22.188000000000002,4775000.0
,Cameroon,100.0,48.3055615493643,267208,49.8692069982459,3512.6676897790803,54.8,34.0,21.8,38.834985133672205,84,54,212.0,164.5964636,69.74412434,76.3320007324219,381984,324.623,355.63,10.347999999999999,57.582,54.038419999999995,49.750659999999996,53.801511588462404,3.1618923312693,22834522,54.578,897000.0
Alberta,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
British Columbia,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Manitoba,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
New Brunswick,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Newfoundland and Labrador,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Northwest Territories,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Nova Scotia,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Ontario,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Prince Edward Island,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Quebec,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Saskatchewan,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
Yukon,Canada,0.725554041704435,3.9404490675217794,80228302,65.755325111402,44406.665869164295,5.5,88.4,10.0,98.5,84,87,5.2,4617.734333300001,14.465439100000001,65.5419998168945,7835502,54.153,84.738,7.4,81.9,92.06331,88.14307,67.874374170873,16.147699554397,35832513,81.259,17971000.0
,Central African Republic,100.0,7.29734501910174,642893,47.190622189673796,663.8265299723159,64.7,26.2,23.7,25.086999751318196,78,59,391.0,42.08366354,29.98105893,72.3519973754883,81598,395.42900000000003,426.72,14.008,51.41,45.32778,39.96351,52.6217637095533,3.65988429642991,4546100,40.277,120500.0
,Chad,100.0,11.1256456480305,41812,66.5641643497065,2207.63074846573,63.7,26.7,24.1,9.548387843000011,77,54,152.0,99.64996053,56.44644876,71.2740020751953,516968,341.536,384.798,13.217,52.575,48.75391,43.79587,49.9576606100484,2.46263708550815,14009413,22.515,120000.0
,Chile,98.5762989258251,23.8895975606296,15006762,58.9528438182819,22959.5543381377,7.5,85.0,12.5,99.8882096998596,62,87,17.0,1891.21277201,34.50925787,62.2649993896484,469436,67.179,110.554,6.066,79.315,88.70764,82.78588,68.7424662977396,10.4192435815292,17762681,87.36,4478000.0
Anhui,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Beijing,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Chongqing,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Fujian,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Gansu,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guangdong,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guangxi,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Guizhou,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hainan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hebei,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Heilongjiang,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Henan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hong Kong,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hubei,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Hunan,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Inner Mongolia,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jiangsu,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jiangxi,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Jilin,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Liaoning,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Macau,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
Ningxia,China,99.99995516453741,146.05764223722602,436183969,39.453065524530004,14492.4244748065,3.9,89.0,17.4,75.0372785640484,94,87,66.0,703.49509727,35.08928609,69.8939971923828,978046,68.05199999999999,93.429,7.11,76.092,87.55389,83.30372,72.6382619611355,9.67614467934214,1371220000,55.5,56886000.0
